kode,provinsi,tahun,kurang_40,41-50,51-60,61-70,lebih_70,meninggal
3,RIAU,2019,9.090909091,45.45454545,45.45454545,0,0,0
4,KEPULAUAN RIAU,2019,0,100,0,0,0,0
5,SUMATERA BARAT,2019,0,0,0,0,0,0
6,SUMATERA SELATAN,2019,33.33333333,33.33333333,0,0,33.33333333,0
7,JAMBI,2019,0,0,0,0,0,0
8,LAMPUNG,2019,9.090909091,36.36363636,27.27272727,27.27272727,0,0
9,BENGKULU,2019,0,0,0,0,0,0
10,BANGKA BELITUNG,2019,0,0,0,0,0,0
11,BANTEN,2019,26.66666667,33.33333333,26.66666667,10,3.333333333,0
12,DKI,2019,20,25.71428571,31.42857143,17.14285714,5.714285714,0
13,JAWA BARAT,2019,22.22222222,42.22222222,20,11.11111111,4.444444444,0
14,JAWA TENGAH,2019,8.572260931,23.30242043,37.40016023,23.20773955,7.517418854,0.268262485
15,DIY,2019,3.899082569,13.76146789,31.42201835,16.51376147,34.40366972,0.458715596
16,JAWA TIMUR,2019,11.21344765,26.10708139,36.13466511,19.46891528,7.075890577,0.234186516
17,BALI,2019,15.7394844,32.9036635,31.78426052,14.4843962,5.088195387,0.271370421
18,NUSA TENGGARA BARAT,2019,9.090909091,45.45454545,36.36363636,9.090909091,0,0
19,NUSA TENGGARA TIMUR,2019,15.77736891,25.3449862,26.77092916,19.82520699,12.28150874,0.413983441
20,KALIMANTAN SELATAN,2019,0,0,0,0,0,0
21,KLIMANTAN TENGAH,2019,0,0,100,0,0,0
22,KALIMANTAN BARAT,2019,0,20,60,0,20,0
23,KALIMANTAN TIMUR,2019,60,0,40,0,0,0
24,KALIMANTAN UTARA',2019,0,0,0,0,0,0
25,SELAWESI SELATAN,2019,0,0,0,100,0,0
26,SULAWESI TENGAH,2019,0,0,0,0,100,0
27,SULAWESI BARAT,2019,100,0,0,0,0,0
28,SULAWESI UTARA,2019,0,0,0,0,0,0
29,SULAWESI TENGGARA,2019,0,0,50,50,0,0
30,MALUKU,2019,20,0,20,40,20,0
31,MALUKU UTARA,2019,0,0,0,0,0,0
32,GORONTALO,2019,0,50,0,0,0,0
33,PAPUA,2019,16.66666667,16.66666667,66.66666667,0,0,0
34,PAPUA BARAT,2019,40,60,0,0,0,0
1,ACEH,2022,0,0,0,0,0,0
2,SUMATERA UTARA,2022,100,0,0,0,0,0
3,RIAU,2022,50,50,0,0,0,0
